Nat. freq.,cosp(wt)_wd1_ws1,cosp(wx)_wd1_ws1,cosp(wt)_wd1_ws2,cosp(wx)_wd1_ws2,cosp(wt)_wd1_ws3,cosp(wx)_wd1_ws3,cosp(wt)_wd1_ws4,cosp(wx)_wd1_ws4,cosp(wt)_wd1_ws5,cosp(wx)_wd1_ws5
0.000610352,22.969516946436922,33.20936446646088,14.120171041328064,14.730732395677686,15.530342214410702,14.219814686170167,8.23868867712129,7.470760144692463,3.667226237892232,6.447670053510106
0.0012207,20.357797959162777,22.229534821209143,14.548907826964038,16.363471241739713,13.483084108161984,16.046391422442042,12.008327249051092,13.157421783266434,7.086352050394583,6.861489667813551
0.00183105,28.289264908340385,26.860406648507688,15.007266045665963,19.566086267669736,9.955365210534938,13.960618494170012,11.100581374643873,10.241301839165596,10.047306514704678,8.22291143287549
0.00244141,21.706515778791765,24.607291973866193,13.284679473132329,11.564253098960572,9.028027353643319,12.423869940935768,8.457431101784762,10.695980985373206,9.91929074796941,10.195765369704391
0.00305176,25.428059713220126,31.06088102302715,14.836263043019983,13.981380140066713,7.7587134691675175,8.807692026486356,8.588484244201162,8.918112584350233,7.396858093772118,10.66319956762655
0.00366211,21.998405717605426,24.97481166083214,12.998306290066836,15.635020620512037,11.710579871189923,13.154959819953525,5.949452288093476,6.230221512495528,8.097522674200576,11.00325108566737
0.00427246,20.44222637056091,21.59568304667179,8.421000602867942,11.61403134845031,10.169726281814226,12.864568351234809,6.6184692825288804,6.814113648811225,9.222453962168947,11.52046981691071
0.00518799,17.560770942439493,20.35807188011799,13.38060289445752,14.710583071831929,8.910732980161875,10.0550096231874,8.572379744290819,8.783121005999755,6.070905683928973,7.768717850426337
0.00640869,19.543806710107685,23.34438791963204,14.9635921758841,16.99171887604955,11.131352473165345,11.14429365309707,7.88927716376774,8.198916710162296,5.441324788750379,8.047599637822499
0.00793457,17.475294400011595,19.528870709649883,9.581983281177598,9.782860542012147,9.852429035746948,11.283774160099412,7.949336906148243,8.213033576226143,4.9293016062412125,7.052295931495553
0.00976562,16.311443626125804,18.031445192633274,11.347410012540593,12.843901242744103,9.146921920557359,9.465018889823005,8.302139333362007,8.940297121432126,6.106784238140197,6.886427888517747
0.0115967,14.826141443614707,15.263231835349712,11.38068799565106,12.217030662099276,9.123685329123802,9.987291278625243,8.384956217788968,9.690343290099051,5.598660940899854,6.322459559256799
0.0140381,13.286323952018671,13.535241077555606,8.930244106514891,9.699283927905723,7.237571958930815,8.825064584654145,5.883852054112261,7.0779186716269775,4.445728038783739,4.719810417720347
0.0170898,11.346922098025333,10.893965320932173,8.33689676493191,8.570644044010658,6.978416278764722,7.186136831253147,5.743045449624923,6.59980145930126,4.404406508804471,4.504919503641549
0.020752,10.113924762271909,10.47861426007132,6.885433417562162,7.9833187263075045,7.14621643897777,7.453413742249743,5.973843811239077,6.894923521427654,4.836970251863274,4.923860667044141
0.0253296,8.362505083808403,9.13107778712126,7.462311728011234,8.187429348140776,6.194112861451292,6.609800607951435,5.174541346882698,5.567549962955067,4.1702796456517275,4.5998914013479615
0.0308228,7.170750477325227,7.560373601278923,6.3890309419217814,6.497988022124314,5.338826709989576,5.94523966734852,4.778972870732055,5.318635579154608,3.5235610219274904,4.048646530868924
0.0375366,6.45511469694467,6.9641269371093815,5.560937413972852,5.852750965058103,5.272572924381358,5.532955335592462,3.9872670384815527,4.454759932084063,4.205216084101916,4.4260064399368435
0.0457764,4.82780485231837,4.951740461970214,4.9208167308919,5.33348943633255,4.2899679884176125,4.63253033131337,3.828860254228525,4.066170172658109,3.4192422978871213,3.7055862618802116
0.0558472,4.100701165412053,4.2859654147089445,4.014350372534344,4.361081740296142,3.7606177734365676,3.9201326715275493,3.4097962834305036,3.7088797386738577,2.8617257781052587,3.1771167392158133
0.0680542,3.627187686432285,3.820460582031185,3.6342710571133012,3.747480577368235,3.4762980278954134,3.6218796011120555,3.278338120571545,3.4925120804447047,2.728104262852256,2.9839388433532883
0.0827026,2.659761654006847,2.6325530424678303,2.856289269724692,2.9981438133948224,2.979857092360659,3.073947481195674,2.4566163377370644,2.6301421070800677,2.430102497281424,2.625469062742082
0.100403,2.029863649492545,2.098149561434087,2.179952686506711,2.2605088431122575,2.395440427161871,2.5374939825835217,2.223290721724782,2.363900055692227,2.0551509500048137,2.2374569775471516
0.12207,1.508740306108517,1.5562119327025477,1.820153745460255,1.9035501488217144,1.847873291622293,1.946820130526201,2.0045903477512903,2.135009454957538,1.8115334353922614,1.961756463163212
0.148621,1.194204525829683,1.1289097001208892,1.455435273839722,1.4976430659473874,1.4974935756611334,1.572896600244918,1.5972552176901875,1.6735814869141414,1.5302021024395387,1.6530039776792425
0.180969,0.8977622318371287,0.8988554957386808,1.0625729003770443,1.0789837624123468,1.2342759613985452,1.2973759317894225,1.2655866186566025,1.3116319588345704,1.307416170034647,1.4030764016673205
0.220032,0.6745167937693911,0.643201434904923,0.8764104103797022,0.8926033154647203,0.9761033811748594,0.9906961070813942,1.0307611979924134,1.06894451716114,1.0812355986856457,1.146719094646839
0.267639,0.4998681915440824,0.46769900796097225,0.647675693751658,0.6485757322986062,0.7066509832274069,0.7328110657764126,0.7645342194460948,0.7877701867067207,0.8093470394511512,0.8390201345531357
0.325623,0.36078285893502615,0.3258336583513245,0.48976130307646165,0.48179324070064666,0.5714939835842882,0.583698834618562,0.6043188141142773,0.6173146648885367,0.6784613040489565,0.6805351203692614
0.396118,0.2714947392569891,0.24573937195902903,0.38282845431580154,0.3781426294269216,0.43688250986238103,0.4275338304074375,0.4890169012137798,0.48794627379551886,0.5053206709658906,0.5193225987374132
0.481873,0.1785720943761807,0.1498923514771181,0.2875835044538015,0.2685382676037047,0.3717282181542993,0.352573203503136,0.3888011921709662,0.3771861634185771,0.41617488555075716,0.41741214533359067
0.586243,0.1353641695934962,0.11059552630052727,0.2131352883246936,0.1912725414916113,0.25784912712532754,0.2446370397315334,0.301796803614997,0.2949021672753449,0.3347033301463728,0.32571876124746907
0.713196,0.09522074460129708,0.07141162194543996,0.15386942924291966,0.13413841385584513,0.1907989558036407,0.17495612911224026,0.22170286989831686,0.20918290256114727,0.26020869438415245,0.24182022572803732
0.867615,0.06540534011821679,0.045004835814272455,0.11288266541034907,0.09459702268095103,0.1393558430774787,0.12284877220887146,0.16335532969692776,0.14868549966478986,0.2026966718148795,0.1875379596652893
1.0553,0.04601566398970277,0.029316983026153706,0.07804805702959665,0.06273211606494206,0.09888486291417924,0.08063147229065985,0.11943003371868981,0.10471683604978048,0.15039708890047065,0.13371074674658076
1.28357,0.030584228298158,0.016499814019687278,0.05496747353085534,0.04015953348538321,0.07021920551664497,0.05338616206491789,0.08627970961848593,0.07158387024730503,0.11216668159897784,0.09889471762999548
1.56158,0.02126333718626861,0.009593778850320403,0.03752629481572083,0.02393445400651904,0.049986506721824475,0.03590912596003193,0.0618078197776184,0.04801845993587692,0.08056804179634303,0.06921672147226954
1.89972,0.013908493148551715,0.005305046189920971,0.025567253003074136,0.014500352902883934,0.03462551663315295,0.02200822687027562,0.042435977955523264,0.02939352301479516,0.057449861580478524,0.043613467269738
2.3111,0.009110235520964042,0.0026583496256292094,0.01728969385069159,0.007558896403949057,0.02296338639248265,0.012320703119365959,0.028532414669060906,0.017019514516896716,0.04061307205803874,0.02625903925619834
2.81128,0.005876439402158447,0.0012847924440409113,0.01097080444672889,0.003998082853569667,0.015734225527754855,0.0067975307659381735,0.018988989594301054,0.009332977327053868,0.027809647651603542,0.016026098061499863
3.4198,0.0035555961179503676,0.0004511747656417529,0.006923801221318987,0.0016098004936326686,0.010035976762773652,0.003155134663089459,0.012599115201668712,0.004816502396582646,0.018712099391777298,0.00876311906641714
4.16016,0.002097969088528646,0.00016802126625939067,0.004469315107471828,0.0005960698469229549,0.006354609608364421,0.001455632390541069,0.008260488829355922,0.002200529163842256,0.012633964448883374,0.004614620466320205
5.06073,0.0012066859528335504,7.95321255118662e-05,0.0026765139778912,0.00019240553158009484,0.003893531499737521,0.0005172979653709379,0.005243144269700221,0.0008750046724155079,0.00825116386371136,0.0020881000616511844
6.15631,0.0006765521980699477,2.109378172557912e-05,0.001612179498893547,6.937377794761255e-05,0.0023189175009055746,0.00013742095467902038,0.0032356241333417798,0.00033675271794305354,0.005207922339031009,0.0007904454536957474
7.48901,0.00037119113401949433,-1.1600786797364852e-06,0.0009616522383020808,1.7935899348957116e-05,0.001477238480119535,2.8738977737600388e-05,0.002037349479437202,9.239103811229165e-05,0.003307605494584731,0.0002159576436838781
9.11041,0.00021427037175055787,-3.727279118978547e-06,0.0006683310516028733,1.0348723179948361e-05,0.0010406647793568017,8.32684852410594e-06,0.0014053234957775408,1.4031790052990663e-05,0.002421904699312837,5.241529710243556e-05
